Nama Penyakit,Deskripsi,Gejala,Jenis Obat,Dosis Obat
Influenza (Flu),"Infeksi virus akut yang menyerang saluran pernapasan seperti hidung, tenggorokan, dan paru-paru.","Demam tinggi, batuk kering, pilek, bersin-bersin, sakit kepala, nyeri otot, dan kelelahan.","Analgetik/Antipiretik (Paracetamol), Antiviral (Oseltamivir)",Paracetamol: 500 mg 3-4 kali sehari. Oseltamivir: 75 mg 2 kali sehari selama 5 hari (harus dengan resep dokter).
Hipertensi (Tekanan Darah Tinggi),Kondisi kronis di mana tekanan darah pada dinding arteri terlalu tinggi secara persisten.,"Sering kali tanpa gejala (silent killer), namun bisa memicu pusing, sakit kepala bagian belakang, mimisan, dan sesak napas jika parah.","ACE Inhibitor (Captopril), Calcium Channel Blocker (Amlodipine)",Captopril: 12.5-25 mg 2-3 kali sehari (1 jam sebelum makan). Amlodipine: 5-10 mg 1 kali sehari.
Diabetes Melitus Tipe 2,Gangguan metabolik jangka panjang yang ditandai dengan kadar gula darah tinggi akibat resistensi insulin.,"Sering haus (polidipsi), sering buang air kecil malam hari (poliuri), mudah lapar (polifagi), dan penurunan berat badan tanpa sebab jelas.","Biguanid (Metformin), Sulfonilurea (Glibenklamid)",Metformin: 500 mg 2-3 kali sehari setelah makan. Glibenklamid: 2.5-5 mg 1 kali sehari sebelum sarapan.
Gastritis (Maag),"Peradangan, iritasi, atau pengikisan pada lapisan lambung.","Nyeri ulu hati, mual, muntah, perut kembung, cepat merasa kenyang saat makan, dan sendawa terus-menerus.","Antasida, Proton Pump Inhibitor (Omeprazole), H2 Blocker (Ranitidin)",Antasida: 1-2 tablet atau 5-10 ml diminum saat gejala timbul (1 jam sebelum/2 jam setelah makan). Omeprazole: 20 mg 1 kali sehari sebelum makan.
Asma Bronkial,Penyakit kronis pada saluran pernapasan yang ditandai dengan peradangan dan penyempitan saluran napas akibat hiperresponsivitas.,"Sesak napas, dada terasa sesak, batuk-batuk terutama malam hari, dan mengorok/mengi (wheezing).","Bronkodilator (Salbutamol Inhaler), Kortikosteroid (Fluticasone)","Salbutamol: 1-2 isapan (puff) saat serangan asma terjadi, maksimal 4 kali sehari. Fluticasone: 100-250 mcg 2 kali sehari untuk pencegahan."
Tuberkulosis (TBC),Penyakit infeksi menular yang disebabkan oleh bakteri Mycobacterium tuberculosis yang menyerang paru-paru.,"Batuk berdahak terus-menerus lebih dari 2-3 minggu (terkadang berdarah), berat badan turun, demam subfebris, dan berkeringat malam hari tanpa aktivitas.","Kombinasi Dosis Tetap Kategori 1 (Rifampisin, Isoniazid, Pirazinamid, Etambutol)","Disesuaikan berat badan pasien, umumnya fase intensif: 1 kali sehari tablet KDT selama 2 bulan, dilanjutkan fase lanjutan selama 4 bulan."
Demam Berdarah Dengue (DBD),Penyakit menular yang disebabkan oleh virus dengue dan ditularkan melalui gigitan nyamuk Aedes aegypti.,"Demam tinggi mendadak hingga 40 derajat Celsius, nyeri sendi/otot, bintik merah di kulit, mimisan, dan nyeri di belakang mata.","Antipiretik (Paracetamol), Terapi Cairan (Cairan Elektrolit/Infus)",Paracetamol: 500 mg tiap 4-6 jam jika demam. Cairan: Minum minimal 2-3 liter air/oralit per hari untuk mencegah dehidrasi. Hindari Ibuprofen/Aspirin.
Demam Tifoid (Tipes),Infeksi bakteri akut pada saluran pencernaan yang disebabkan oleh Salmonella typhi.,"Demam yang meningkat secara bertahap (terutama malam hari), sakit kepala, nyeri perut, sembelit atau diare, dan lidah kotor (putih di tengah).","Antibiotik (Ciprofloxacin, Thiamphenicol, Ceftriaxone)",Ciprofloxacin: 500 mg 2 kali sehari selama 7-14 hari. Thiamphenicol: 500 mg 4 kali sehari selama 5-7 hari bebas demam.
Gout Artritis (Asam Urat),Bentuk radang sendi yang terjadi akibat penumpukan kristal asam urat pada persendian.,"Nyeri sendi mendadak dan parah (sering di jempol kaki), kemerahan, bengkak, dan terasa panas pada sendi yang meradang.","NSAID (Ibuprofen), Xanthine Oxidase Inhibitor (Allopurinol)",Ibuprofen: 400 mg 3 kali sehari untuk meredakan radang akut. Allopurinol: 100-300 mg 1 kali sehari setelah makan untuk menurunkan kadar asam urat.
Hiperkolesterolemia (Kolesterol Tinggi),Kondisi di mana kadar kolesterol di dalam darah melebihi batas normal.,"Umumnya tidak bergejala, namun dapat menyebabkan pegal di tengkuk, kesemutan, dan jika dibiarkan memicu sumbatan pembuluh darah.","Golongan Statin (Simvastatin, Atorvastatin)",Simvastatin: 10-20 mg 1 kali sehari pada malam hari sebelum tidur. Atorvastatin: 10-40 mg 1 kali sehari.
Diare Akut,Kondisi buang air besar dengan konsistensi cair atau lembek dengan frekuensi lebih dari 3 kali dalam 24 jam.,"Feses cair, kram perut, kembung, mual, muntah, dan lemas akibat kekurangan cairan.","Rehidrasi Oral (Oralit), Anti-diare (Attapulgite), Suplemen Zinc","Oralit: 1 bungkus dilarutkan dalam 200 ml air setiap habis buang air besar. Attapulgite: 2 tablet setelah diare pertama, maks 12 tablet/hari. Zinc: 20 mg 1 kali sehari selama 10 hari."
Infeksi Saluran Kemih (ISK),"Infeksi bakteri yang terjadi pada bagian mana pun dari sistem urinaria, mulai dari ginjal hingga kandung kemih.","Nyeri atau rasa terbakar saat buang air kecil (anyang-anyangan), urin keruh/berbau menyengat, sering BAK tapi sedikit, dan nyeri perut bawah.","Antibiotik (Antibiotik Kotrimoksazol, Levofloxacin)",Kotrimoksazol (Trimethoprim/Sulfamethoxazole): 960 mg 2 kali sehari selama 3-5 hari. Levofloxacin: 500 mg 1 kali sehari selama 3 hari.
Faringitis (Radang Tenggorokan),Peradangan pada faring (tenggorokan) yang disebabkan oleh infeksi virus atau bakteri.,"Nyeri tenggorokan saat menelan, tenggorokan terasa kering/gatal, demam ringan, dan pembengkakan kelenjar getah bening leher.","Analgetik (Ibuprofen), Antibiotik jika karena bakteri (Amoxicillin)",Ibuprofen: 400 mg 3 kali sehari setelah makan. Amoxicillin: 500 mg 3 kali sehari selama 5-7 hari menghabiskan dosis penuh.
Varicella (Cacar Air),"Infeksi menular yang disebabkan oleh virus Varicella-zoster, memicu ruam kulit lepuh gatal.","Demam ringan, lemas, kehilangan nafsu makan, diikuti munculnya bintik merah berisi cairan yang gatal di seluruh tubuh.","Antivirus (Acyclovir), Antipruritus (Bedak Salisil / Losion Kalamin)",Acyclovir: 800 mg 5 kali sehari selama 7 hari (diberikan dalam 24 jam pertama ruam). Bedak Salisil: Dioleskan tipis pada kulit yang gatal setelah mandi.
Migrain,Gangguan neurologis berupa sakit kepala berdenyut yang biasanya menyerang satu sisi kepala saja.,"Sakit kepala berdenyut intens, sensitif terhadap cahaya dan suara (fotofobia/fonofobia), mual, hingga muntah.","Analgetik Spesifik (Sumatriptan), Analgetik Kombinasi (Paracetamol + Kafein)","Sumatriptan: 50-100 mg saat serangan migrain datang, dapat diulang setelah 2 jam jika belum reda (maksimal 200 mg/hari)."
Rinitis Alergi,"Peradangan pada lapisan hidung akibat reaksi alergi terhadap partikel udara seperti debu, serbuk sari, atau bulu hewan.","Bersin berulang kali, hidung tersumbat, meler encer jernih, serta mata gatal dan berair.","Antihistamin Non-Sedatif (Cetirizine, Loratadine)",Cetirizine: 10 mg 1 kali sehari pada malam hari. Loratadine: 10 mg 1 kali sehari.
Anemia Defisiensi Besi,Kondisi penurunan jumlah sel darah merah akibat tubuh kekurangan zat besi untuk membentuk hemoglobin.,"Lemas, cepat lelah, pucat pada wajah, kuku, dan konjungtiva mata, pusing, serta sulit konsentrasi (5L: Lemah, Letih, Lesu, Lelah, Lunglai).",Suplemen Zat Besi (Ferrous Sulfate),"Ferrous Sulfate: 300 mg 1-2 kali sehari, sebaiknya dikonsumsi saat perut kosong atau bersama vitamin C untuk meningkatkan penyerapan."
Malaria,Penyakit infeksi menular yang disebabkan oleh parasit Plasmodium dan ditularkan melalui gigitan nyamuk Anopheles betina.,"Siklus demam berkala (menggigil dingin, diikuti demam tinggi, lalu berkeringat banyak), sakit kepala, dan anemia.","Artemisinin-based Combination Therapy / ACT (Dihidroartemisin + Piperakuin, Primakuin)",Diberikan selama 3 hari berturut-turut sesuai berat badan pasien dan jenis plasmodium (wajib resep dan pengawasan dokter).
Scabies (Kudis),Penyakit kulit menular yang disebabkan oleh tungau Sarcoptes scabiei var. hominis yang bersarang di bawah kulit.,"Gatal hebat terutama pada malam hari, ruam berupa terowongan kecil/bintil di sela-sela jari tangan, selangkangan, dan pergelangan tangan.",Skabisida Topikal (Krim Permethrin 5%),"Krim Permethrin 5%: Dioleskan ke seluruh tubuh dari leher ke bawah sebelum tidur, diamkan selama 8-12 jam, lalu bilas bersih. Gunakan kembali setelah 7 hari jika belum sembuh."
Konjungtivitis (Mata Merah),Peradangan pada konjungtiva (selaput bening yang melapisi bagian putih mata dan bagian dalam kelopak mata).,"Mata merah, terasa mengganjal/perih, keluar kotoran mata (belek) berlebih, mata berair, dan sensitif terhadap cahaya.",Tetes Mata Antibiotik (Chloramphenicol Eyedrops) jika infeksi bakteri,"Chloramphenicol 0.5% Tetes Mata: 1 tetes pada mata yang sakit setiap 2 jam pada 2 hari pertama, kemudian 3-4 kali sehari sampai infeksi reda."
Bronkitis Akut,Peradangan jangka pendek pada lapisan saluran bronkus utama di paru-paru yang biasanya berkembang pasca flu.,"Batuk menetap (bisa kering atau berdahak jernih/kuning kehijauan), sesak napas ringan, dada terasa tidak nyaman, dan demam ringan.","Mukolitik (Ambroxol), Ekspektoran (Guaifenesin)",Ambroxol: 30 mg 3 kali sehari setelah makan. Guaifenesin: 100-200 mg setiap 4 jam (maksimal 1.2 g/hari).
Otitis Media Akut (OMA),Infeksi akut telinga bagian tengah yang sering terjadi akibat komplikasi dari infeksi saluran pernapasan atas.,"Nyeri hebat pada telinga, pendengaran menurun, keluar cairan dari telinga (jika gendang telinga pecah), demam, dan rewel pada anak-anak.","Tetes Telinga Analgetik/Antiseptik (Kombinasi Antipirin-Benzokain), Antibiotik (Amoxicillin)",Tetes telinga: 2-3 tetes 3-4 kali sehari pada telinga yang sakit. Amoxicillin oral: 500 mg 3 kali sehari selama 7-10 hari.
